2路 火车站-展览馆-新路口-河滨公园-次南门-大西门-紫林庵-客车站-枣山路-黔灵公园-瑞北路口-博物馆-六广门-云岩广场-喷水池-大十字-邮电大楼-新路口-展览馆-火车站:{6:00-23:00}
K2路 0八三厂-万江机电-肉联厂-温泉路口-新添寨-贵工分校-茶店-大营坡-贵州日报社-师大-喷水池:{6:30-18:30}
3路↑ 师大-喷水池-紫林庵-客车站-头桥-转弯塘-二桥-公交三公司-三桥-三桥水果市场-后坝-枫丹白鹭花园-贵黄交警支队-工学院:{6:30-23:00}
3路↓ 工学院-贵黄交警支队-枫丹白鹭花园-后坝-三桥水果市场-三桥-公交-二桥三公司-转弯塘-头桥-客车站-紫林庵-喷水池-师大:{6:30-23:00}
K3路 贵阳普天-轮胎厂-金关钢材市场-天然居花园-省地勘院-三桥-二桥-头桥-客车站-喷水池:{6:30-18:30}
26↓ 百花小区-百花山路-贵州日报社-相宝山-师大-喷水池-大十字-钻石广场-纪念塔-陈家坡-蓑草路口-红拖-油榨街-锦绣家园-富源北路-药材仓库-贵州日报仓库-市物资回收公司-富源中路-东站宿舍区-兴华小学-检测中心-龙家寨-铁二局材料厂-铁路医院-富源天地 :{6:30-23:00}
27↑ 水电九局宿舍区-水电九局子校-和尚坡-九局中心医院-水电安装处-三桥立交桥-三桥-公交三公司-二桥-转弯塘-头桥-客车站-四中-威清路口-黔灵西路-黔灵西路口-云岩广场-六广门-六中-市北路-省老干中心-宅吉小区 :{6:30-21:00}
27↓ 宅吉小区-宅吉后花园-省老干中心-盐务街-六广门-云岩广场-黔灵西路口-黔灵西路-威清路口-四中-客车站-头桥-转弯塘-二桥-公交三公司-三桥-三桥立交桥-蛋禽站-水电安装处-九局中心医院-和尚坡-水电九局子校-水电九局宿舍区 :{6:30-21:00}
28↑ 金阳医院-金阳大道一号站-金西分流中心-野鸭乡政府-野鸭塘-贵阳普天-柏杨林-野鸭中学-金钟桥-轮胎厂-金关钢材市场-天然居花园-省地勘院-车管所-三桥-公交三公司-二桥-转弯塘-头桥-客车站-紫林庵-喷水池-师大-相宝山-贵州日报社-大营路-大营坡-鹿冲关路 :{6:30-22:00}
28↓ 鹿冲关路-大营坡-大营路-贵州日报社-相宝山-师大-喷水池-紫林庵-客车站-头桥-转弯塘-二桥-公交三公司-三桥-车管所-省地勘院-天然居花园-金关钢材市场-轮胎厂-金钟桥-野鸭中学-柏杨林-贵阳普天-野鸭塘-野鸭乡政府-金西分流中心-金阳大道一号站-金阳医院 :{6:30-22:00}
29路↑ 西南家居城-金园路口-金龙国际花园-金阳大酒店-金阳大道9号站-金阳大道8号站-黎阳家园-新瑞商业中心-碧水云天-碧海商业广场-金阳二幼-兴筑西路口-金阳大道4号站-金阳大道3号站-金阳大道2号站-金阳大道1号站-金西分流中心-野鸭乡政府-野鸭塘-贵阳普天-柏杨林-野鸭中学-金钟桥-轮胎厂-金关钢材市场-天然居花园-省地堪院-车管所-三桥-公交驾驶员城-二桥-转弯塘-头桥-客车站-紫林庵-大西门-次南门-河滨公园-新路口-展览馆-火车站:{6:30-22:00}
29路↓ 火车站-服务大楼-展览馆-新路口-河滨公园-次南门-大西门-紫林庵-客车站-头桥-转弯塘-二桥-公交驾驶员城-三桥-车管所-省地勘院-天然居花园-金关钢材市场-轮胎厂-金钟桥-野鸭中学-柏杨林-贵阳普天-野鸭塘-野鸭乡政府-金西分流中心-金阳大道1号站-金阳大道2号站-金阳大道3号站-金阳大道4号站-兴筑西路口-金阳二幼-碧海商业广场-碧水云天-新瑞商业中心-黎阳家园-金阳大道8号站-金阳大道9号站-金阳大酒店-金龙国际花园-金园路口-西南家居城:{6:30-22:00}
K29路↑ 西南民族美食文化广场-市行政中心-金阳大道九号站-贵阳一中-金西分流中心-轮胎厂-省地堪院-三桥-头桥-大西门-新路口-火车站:{}
K29路↓ 火车站-新路口-大西门-头桥-三桥-省地堪院-轮胎厂-金西分流中心-贵阳一中-金阳大道九号站-市行政中心-民族美食文化广场:{}
30↑ 水利机械公司-笔山路口-营盘路-营盘小学-营盘路口-兴关路-箭道街路口-新路口-河滨公园-次南门-市一医-大十字-喷水池-下合群路-黔灵西路口-上合群路-环城北路-博物馆-瑞北路口-北新区路-八鸽岩路-省工商局 :{6:30-22:00}
