1路↑ 香洲-南坑-桃园新村-银桦新村-新村-南村-香洲区府-仁恒星园-安居园-新香洲万家-上冲-明珠北-翠微-招商花园城南-海纳石鸣苑-中山亭-瀚林苑-前山-银石雅园-兰埔-北岭-华侨宾馆-华润万家-拱北:{6:20-0:25}
1路↓ 拱北-拱北口岸-口岸广场-华润万家-华侨宾馆-北岭-兰埔-圆明新园-银石雅园-前山-瀚林苑-中山亭-海纳石鸣苑-招商花园城南-翠微-明珠北-上冲-新香洲万家-安居园-仁恒星园-香洲区府-南村-新村-银桦新村-桃园新村-南坑-香洲:{6:20-0:25}
观光01线↑ 石景山-九洲城-吉大-中电大厦-白莲洞公园-竹苑-兰圃-圆明新园-银石雅园-前山西门-明珠商业广场-翠景工业区-翠薇-明珠北-上涌村-公交花园-长沙-梅溪牌坊-农科奇观-东坑新村-东坑公园-绿知农庄-东坑市场-东坑-凤凰山-普陀寺:{06:45}
13↑ 体育中心南-红山北-体育中心西-梅华中-交通大楼-古元美术馆-国资委-大镜山-党校-紫荆园-香洲-夏美-光明街-二中-人民医院-湾仔沙-公积金中心-望海楼-海滨公园-九洲城-吉大-水湾北-南油大酒店-水湾头-情侣南路南-日华花园-粤海东-银都-凉粉桥-桂花中-桂花北-兰埔东-圆明山庄-圆明新园 :{6:20-23:00}
13↓ 圆明新园-圆明山庄-兰埔东-桂花北-桂花中-凉粉桥-银都-粤海东-日华花园-情侣南路南-水湾头-南油大酒店-水湾北-吉大-九洲城-海滨公园-望海楼-公积金中心-人民医院-二中-光明街-夏美-香洲-紫荆园-党校-大镜山-国资委-古元美术馆-交通大楼-梅华中-市公汽公司-体育中心西-红山北-体育中心南 :{体育中心南6:20-23:00}
14↑ 凤凰北-邮政大厦-百货公司-湾仔沙-二中-滨海楼-南香里-香宁花园-柠溪-隧道南-兰埔-银石雅园-前山桥东-华发新城-北山-南屏-北山工业区-威尔科技园-竹仙洞-南山-湾仔中学-鸿景花园-湾仔海鲜街-湾仔旅游码头-南湾南路北-银坑村-北大希望之星-南湾南路南-珠海保税区-横琴大桥南-洋环-银鑫花园-横琴口岸-粗沙环-横琴 :{6:20-19:30}
14↓ 横琴-粗沙环-横琴口岸-银鑫花园-洋环-横琴大桥南-珠海保税区-南湾南路南-北大希望之星-银坑村-南湾南路北-湾仔旅游码头-湾仔-鸿景花园-湾仔中学-南山-竹仙洞-威尔科技园-北山工业区-南屏-北山-华发新城-前山桥东-银石雅园-兰埔-隧道南-柠溪-香宁花园-南香里-滨海楼-二中-湾仔沙-百货公司-邮政大厦-凤凰北 :{凤凰北6:20-19:30}
15↑ 香洲-南坑-桃园新村-银桦新村-新村-南村-香洲区府-仁恒星园-安居园-新香洲万家-上冲-明珠北-翠微-翠景工业区-莲塘-造贝-福石-中臣花园-南屏大桥-南屏街口-南泉路口-南屏中学-泰桦广场-屏东六路-攀云购物公园-兴业公司-屏北二路中-屏北二路西-南屏科技园 :{6:20-22:30}
15↓ 南屏科技园-屏北二路西-屏北二路中-兴业公司-攀云购物公园-屏东六路-泰桦广场-南屏中学-南泉路口-南屏街口-南屏大桥-中臣花园-福石-造贝-莲塘-翠景工业区-翠微-明珠北-上冲-新香洲万家-安居园-仁恒星园-香洲区府-南村-新村-银桦新村-桃园新村-南坑-香洲 :{香洲6:20-22:30}
16↑ 凤凰北-翠香中-安平大厦-紫荆园-党校-大境山-国资委-古元美术馆-交通大楼-梅华中-一中高中部-勇达大厦-恒雅名园-长沙圩-公交花园-上冲客运中心-明珠北-翠微-翠景工业区-明珠商业广场-漾湖明居-前山港-前山桥东-华发新城-北山-南屏街口-南泉路口-南屏中学-泰桦广场-屏东六路-屏北一路东-屏北一路中-屏北一路西-天威科技园-南屏科技园 :{6:20-21:30}
16↓ 南屏科技园-天威科技园-屏北一路西-屏北一路中-屏北一路东-屏东六路-泰桦广场-南屏中学-南泉路口-南屏街口-北山-华发新城-前山桥东-漾湖明居-明珠商业广场-翠景工业区-翠微-明珠北-上冲客运中心-公交花园-恒雅名园-勇达大厦-一中高中部-梅华中-交通大楼-山场西-古元美术馆-国资委-大境山-党校-梅华东-华子石西-凤凰北 :{凤凰北6:20-21:30}
17↑ 华财古玩城-界涌北-界涌-界涌工业区-和平市场-沥溪-南溪-坦洲路口-上冲检查站-恒雅名园-勇达大厦-一中高中部-梅华中-交通大楼-山场西-古元美术馆-国资委-大镜山-党校-梅华东-华子石西-华子石东-中大五院-水拥坑-契爷岭-神前总站-里神前 :{6:15-21:30}
17↓ 里神前-神前总站-美丽湾-契爷岭-水拥坑-中大五院-华子石东-华子石西-梅华东-党校-大镜山-国资委-古元美术馆-交通大楼-梅华中-一中高中部-勇达大厦-恒雅名园-长沙圩-坦洲路口-南溪-沥溪-和平市场-界涌工业区-界涌-界涌北-华财古玩城 :{华财古玩城6:15-21:30}
18↑ 华发新城总站-奥特美会所-华发新城-前山桥东-漾湖明居-明珠商业广场-翠景工业区-招商花园城南-凤山工业城-世邦家居世界-三台石北-仁恒星园-红山路南-金桦花园-名街花园-城市广场-大镜山-党校-梅华东-华子石西-华子石东-中大五院 :{6:30-20:55}
