1路 淮西客运站-市中级法院-公交修造厂-段南新村-段庄-矿务局-工人(口腔)医院-市二院-古彭大厦-供销/华联大厦-万虹桥文化宫-火车东站:{5:45-00:30}
1路附 新一佳淮西店-段庄-段南新村-徐医附院西院-公交修造厂-市中级法院-淮西客运站-三环西路环岛-杏山工业园-开元四季花园:{6:20-17:30}
游1路↑ 矿大南湖校区-泉山公园-泉山法院-双山-风华园-矿业大学-候山窝-奎园西门-纪念塔-市四院-和平路-戏马台-市政府-中山堂-民主路小学-爱牙医院(市三院)-堤北-化机厂-电力医院-轻工路口-王场新村:{6:15-19:00}
游1路↓ 王场新村-王场新村东门-二环北路-堤北市场-堤北-爱牙医院(市三院)-民主路小学-中山堂-市政府-戏马台-和平路-市四院-纪念塔-奎园西门-侯山窝-矿业大学-风华园-双山-泉山法院-泉山公园-矿大南湖校区:{6:15-19:00}
2路 火车东站-天桥-铁路分局-南郊宾馆-师大北门-中医院-中山饭店-市交通银行-九州大厦-市一院-金地商都-北路口-火车西站-坝子街-市三院-烟厂-火车东站:{5:50-20:00}
游2路 建筑学院-师大新校-文沃市场-风华南苑-风华园-矿业大学-候山窝-奎园西门-纪念塔-市四院-和平路-南郊宾馆-袁桥(民主路)-开明市场-民主南路-文化宫-第三中学-延平路-牌楼-夹河街东口-第一中学-夹河街西口-欧洲商城-工商局-电视塔-云龙公园西门-体育场西门-云龙山隧道-滨湖公园东门-汉画像石馆-云龙山索道-金山公园-金泰小区-市财校-营房西门-营房东门-孟庄公寓-泰山汇景花园-大学城-矿业大学-翟山-翟山市场-铜山中学-师大新校-建筑学院:{6:00-19:00}
18↑ 湖滨新村西-湖滨新村-湖滨路口-段庄-煤建西路-矿务局-永安广场-财苑小区-解放桥-中国人寿北-宣武市场-天桥东-王杰部队-九七医院-黄山加油站-黄山干休所-黄山新村 :{6:10-22:00}
18↓ 黄山新村-黄山干休所-黄山加油站-九七医院-王杰部队-天桥东-宣武市场-中国人寿北-解放桥-财苑小区-永安广场-矿务局-煤建西路-段庄-湖滨路口-湖滨新村-湖滨新村西 :{6:10-22:00}
19↑ 铜山新区总站-九州学院-铜山县政府-铜山县教育局-康乐园-铜山中医院-新区国税局-新区邮电局-师范学校-师大新校-建筑学院-铜山中学-翟山市场-翟山-矿业大学-候山窝-奎园西门-纪念塔-市四院-和平路-戏马台-市政府-民主南路-万虹桥文化宫-火车东站 :{6:15-19:50}
19↓ 火车东站-万虹桥文化宫-民主南路-市政府-戏马台-和平路-市四院-纪念塔-奎园西门-候山窝-矿业大学-翟山-翟山市场-铜山中学-建筑学院-师大新校-师范学校-新区邮电局-新区国税局-铜山中医院-康乐园-铜山县教育局-铜山县政府-九州学院-铜山新区总站 :{6:15-19:50}
20↑ 火车东站-万虹桥文化宫-民主南路-中国人寿-戏马台-和平路-市四院-纪念塔-奎园西门-侯山窝-矿业大学-翟山-矿大南门-彭城大学-彭大新校-姚庄-技工学校-汽车南站 :{6:10-18:40}
20↓ 汽车南站-技工学校-姚庄-彭大新校-彭城大学-矿大南门-翟山-矿业大学-侯山窝-奎园西门-纪念塔-市四院-和平路-戏马台-中国人寿-民主南路-万虹桥文化宫-火车东站 :{6:10-18:40}
21↑ 文化宫-市一院-金地商都-庆云桥-江苏四监-永业花园小区-肉联厂-煤球厂-沈场-阎窝-九里山-格瑞实业公司-九里医院(苏山头)-糖果厂-龟山汉墓-孤山村-新庞庄-洗毛厂-七里河-十台子-东宫房-夹河矿 :{6:30-19:00}
21↓ 夹河矿-东宫房-十台子-七里河-洗毛厂-新庞庄-孤山村-龟山汉墓-糖果厂-九里医院(苏山头)-格瑞实业公司-九里山-阎窝-沈场-煤球厂-肉联厂-永业花园小区-江苏四监-庆云桥-金地商都-市一院-文化宫 :{6:30-19:00}
22↑ 体育场-滨湖公园东门-金山公园-金山村-茶棚-矿大南湖校区-望城岗-徐林-桥上-汉王公墓-汉沟-刘庄-韩楼-班井 :{6:50-16:55}
22↓ 班井-韩楼-刘庄-汉沟-汉王公墓-桥上-徐林-望城岗-矿大南湖校区-茶棚-金山村-金山公园-滨湖公园东门-体育场 :{6:50-16:55}
